Symbol,Return (%),totalEsg,GICS Sector
A,-4.74539818434233,13.64,Health Care
AAL,-16.640501755464427,26.35,Industrials
AAPL,83.09746586613026,17.22,Information Technology
ABBV,20.895425332859208,29.93,Health Care
ABT,3.3673980200336144,24.83,Health Care
ACGL,81.05987511294155,22.46,Financials
ACN,26.526307944552098,9.84,Information Technology
ADBE,70.48852850878087,13.08,Information Technology
ADI,44.56140397017826,22.92,Information Technology
ADM,-31.96876671456491,31.79,Consumer Staples
ADP,16.094420352859025,13.82,Industrials
ADSK,39.56251818239505,16.76,Information Technology
AEE,-6.7578210779768275,27.17,Utilities
AEP,5.702535971424054,26.14,Utilities
AES,-39.06083675267354,26.69,Utilities
AFL,54.177141362508785,18.33,Financials
AIG,22.43763336740475,24.18,Financials
AIZ,54.217724296379785,24.11,Financials
AJG,56.237325593608524,21.16,Financials
AKAM,19.854060109248405,17.01,Information Technology
ALB,-57.925407925407924,26.57,Materials
ALL,38.255522741356494,22.04,Financials
ALLE,28.913649277644353,21.78,Industrials
AMAT,103.92844790767435,12.74,Information Technology
AME,21.72644310492676,23.9,Industrials
AMGN,27.58646832009389,21.96,Health Care
AMP,44.67263154037736,20.27,Financials
AMT,4.374155433801457,10.9,Real Estate
AMZN,107.99347545414322,30.61,Consumer Discretionary
ANET,192.2669706225096,16.67,Information Technology
ANSS,34.68823929341524,15.89,Information Technology
AOS,42.09097729542876,25.44,Industrials
APA,-34.685922813508085,38.81,Energy
APD,-9.041980806487482,12.26,Materials
APH,76.57066911286621,19.57,Information Technology
APTV,-23.04464644670481,10.66,Consumer Discretionary
ARE,-17.02865922669673,13.89,Real Estate
ATO,17.571950612567658,34.61,Utilities
AVB,39.77089518733067,9.76,Real Estate
AVGO,194.17505344559905,19.98,Information Technology
AVY,21.090550719751565,16.07,Materials
AWK,-7.125250195611529,21.62,Utilities
AXP,75.80886519909028,18.61,Financials
AZO,30.868012463216623,11.02,Consumer Discretionary
BA,-11.080400206824184,39.6,Industrials
BAC,21.605496989280486,28.3,Financials
BALL,22.782374205277538,12.1,Materials
BAX,-25.666148224603763,23.57,Health Care
BBWI,-28.77980734674149,28.3,Consumer Discretionary
BBY,24.860088239480053,15.89,Consumer Discretionary
BDX,-5.375122729080198,23.82,Health Care
BEN,-25.36873471685966,18.3,Financials
BG,6.079311056970096,32.92,Consumer Staples
BIIB,-24.894549081327213,22.24,Health Care
BIO,-20.147713663145414,17.4,Health Care
BK,47.34341759145613,20.93,Financials
BKNG,92.36348879351729,19.23,Consumer Discretionary
BLK,26.65159617259053,18.25,Financials
BMY,-30.874620417572608,22.74,Health Care
BR,58.18965849613838,16.63,Industrials
BRO,85.578101362261,20.48,Financials
BSX,77.7657115828424,23.11,Health Care
BWA,-3.889944911763263,12.59,Consumer Discretionary
BX,86.99593556593764,23.39,Financials
BXP,12.909033502797806,12.51,Real Estate
C,36.82831162061141,29.24,Financials
CAG,-19.64975716795631,30.83,Consumer Staples
CAH,46.90472603832794,14.86,Health Care
CAT,49.07066260242577,36.17,Industrials
CB,28.722193765536915,23.6,Financials
CBOE,62.59003476559168,20.95,Financials
CBRE,46.787348044330635,7.98,Real Estate
CCI,-19.00802644753849,10.1,Real Estate
CCL,107.02635425794954,24.49,Consumer Discretionary
CDNS,68.46028169881058,12.02,Information Technology
CDW,25.697736223291912,9.21,Information Technology
CE,27.701193302395506,26.13,Materials
CF,1.3910914363650753,29.33,Materials
CFG,8.904630828390516,23.54,Financials
CHD,24.21360817262411,19.86,Consumer Staples
CHRW,14.654412423372262,19.32,Industrials
CHTR,1.7448393368899355,24.72,Communication Services
CI,12.54509928891995,11.65,Health Care
CINF,31.746943529351512,25.61,Financials
CL,34.58865625753551,26.17,Consumer Staples
CLX,11.282162007244118,21.63,Consumer Staples
CMCSA,11.245431639916598,23.09,Communication Services
CME,27.69458975442066,17.8,Financials
CMG,104.50286353386649,20.66,Consumer Discretionary
CMI,29.791741958828744,19.3,Industrials
CMS,6.480466181987218,21.7,Utilities
CNC,-1.1412039843160158,19.89,Health Care
CNP,-7.64546775951637,28.73,Utilities
COF,58.040218077422146,22.5,Financials
COO,27.12517215902972,17.47,Health Care
COP,0.5922897389299635,33.91,Energy
COR,45.82142377166929,12.75,Health Care
COST,96.87169239455335,23.29,Consumer Staples
CPB,-11.530248139266043,23.5,Consumer Staples
CPRT,72.33973274774274,16.03,Industrials
CPT,13.118898268007516,16.09,Real Estate
CRM,87.63911276673166,14.88,Information Technology
CSCO,5.423450903834232,13.87,Information Technology
CSGP,-0.4507385283237213,21.91,Real Estate
CSX,10.977983773082826,21.91,Industrials
CTAS,79.31802771302557,18.08,Industrials
CTRA,4.825510053478065,36.07,Energy
CTSH,35.040799508613475,14.66,Information Technology
CVS,-38.39199287233431,21.97,Health Care
CVX,-14.966381816652664,36.6,Energy
D,-11.227567981211601,26.4,Utilities
DAL,30.297457476829898,30.26,Industrials
DD,22.34969394893513,28.6,Materials
DE,-9.085770943028317,19.95,Industrials
DFS,43.01475386018348,22.5,Financials
DG,-66.37078436681654,17.59,Consumer Staples
DGX,0.7703645858179762,21.21,Health Care
DHI,108.16055786455708,21.03,Consumer Discretionary
DHR,15.827840433409188,11.86,Health Care
DIS,1.5847993856009146,15.7,Communication Services
DLR,47.43751620216866,12.61,Real Estate
DLTR,-39.76186997522541,20.08,Consumer Staples
DOV,37.72857680591888,25.88,Industrials
DPZ,22.088603433292864,29.19,Consumer Discretionary
DRI,12.996560667365936,27.47,Consumer Discretionary
DTE,6.075000844761566,29.8,Utilities
DUK,9.884281872366772,27.01,Utilities
DVA,101.65687540598698,22.56,Health Care
DVN,-22.95251272840187,33.76,Energy
DXCM,-39.56245593215166,24.05,Health Care
EA,23.63192471601942,13.29,Communication Services
EBAY,40.21351443566464,17.6,Consumer Discretionary
ECL,71.9855859852574,19.86,Materials
ED,6.056803772949032,23.81,Utilities
EFX,54.87368698699431,23.16,Industrials
EG,17.65552357354262,17.96,Financials
EIX,35.39203551965103,27.51,Utilities
EL,-63.90059377727949,25.48,Consumer Staples
ELV,10.890083853454849,11.38,Health Care
EMN,24.64386481191774,25.27,Materials
EMR,9.655601623518635,28.36,Industrials
EOG,3.5114588052533278,34.16,Energy
EQIX,25.93922703850657,13.88,Real Estate
EQR,27.260362099310104,11.91,Real Estate
EQT,5.311120813693396,35.69,Energy
ES,-19.817148182732964,18.62,Utilities
ESS,42.818613426579184,12.44,Real Estate
ETN,94.56734876436212,17.94,Industrials
ETR,10.592875908485576,26.67,Utilities
EW,-5.80314764158013,18.57,Health Care
EXC,-11.746987286257411,22.86,Utilities
EXPD,17.5557246293025,16.56,Industrials
EXPE,58.63366315440135,27.65,Consumer Discretionary
EXR,22.66962938240765,15.2,Real Estate
F,-4.195211575254358,22.35,Consumer Discretionary
FAST,44.05062569885815,24.67,Industrials
FCX,16.77215431819327,31.61,Materials
FDS,4.158046417901843,18.37,Financials
FDX,68.53950573299899,19.68,Industrials
FE,4.496786686987499,25.56,Utilities
FFIV,40.24852284183217,17.15,Information Technology
FI,72.51260516047397,19.64,Financials
FIS,20.29471235324074,17.48,Financials
FITB,30.790439414799227,16.84,Financials
FMC,-48.30291164132514,30.73,Materials
FRT,12.020257059902265,12.42,Real Estate
FTNT,58.09974930080264,18.9,Information Technology
FTV,15.761639041419413,34.76,Industrials
GD,20.418333870398516,35.19,Industrials
GE,229.8203429727548,40.55,Industrials
GEN,22.38667001555433,16.94,Information Technology
GILD,-7.483311201924048,22.97,Health Care
GIS,-13.133862226448349,21.13,Consumer Staples
GL,-12.158201966200753,20.35,Financials
GLW,28.610932073303125,16.48,Information Technology
GM,47.19100895472559,28.5,Consumer Discretionary
GOOGL,83.32585261177915,24.22,Communication Services
GPC,-15.635123628452211,13.66,Consumer Discretionary
GPN,10.788428659905183,20.87,Financials
GRMN,95.88542682903463,20.66,Consumer Discretionary
GS,47.37738957915765,25.45,Financials
GWW,77.16618924796207,16.0,Industrials
HAL,-17.44556484716951,25.63,Energy
HAS,10.024217631462811,7.08,Consumer Discretionary
HBAN,6.1702117873871645,21.84,Financials
HCA,62.653667784030006,28.84,Health Care
HD,16.64714498694374,12.64,Consumer Discretionary
HES,2.6315738728069036,33.11,Energy
HIG,54.08095663597865,16.63,Financials
HLT,75.66984046553281,17.56,Consumer Discretionary
HOLX,7.53142896382627,25.0,Health Care
HON,-2.981800885978126,28.62,Industrials
HPE,20.61022094247491,10.69,Information Technology
HPQ,35.25233758944217,11.26,Information Technology
HRL,-28.852460684020663,30.0,Consumer Staples
HSIC,-11.369341200811132,13.95,Health Care
HST,11.111113771847116,13.35,Real Estate
HSY,-14.925305693539666,26.05,Consumer Staples
HUBB,70.54885242833642,19.6,Industrials
HUM,-29.175406474221795,22.47,Health Care
IBM,42.797598392776855,14.14,Information Technology
ICE,56.49520274950864,19.78,Financials
IDXX,18.551261051450467,18.66,Health Care
IEX,-10.026584694256092,29.34,Industrials
IFF,-1.561909821480558,22.69,Materials
INCY,-17.46071509338743,24.76,Health Care
INTC,-17.54582381978074,18.87,Information Technology
INTU,61.11764956445472,16.41,Information Technology
IP,36.7410290245568,24.47,Materials
IPG,-3.4921582515659,10.32,Communication Services
IQV,23.393506474356705,19.14,Health Care
IRM,128.0249774743155,14.5,Real Estate
ISRG,85.45721335213813,21.07,Health Care
IT,45.77024673040795,18.93,Information Technology
ITW,14.914662427006173,25.29,Industrials
IVZ,-6.201971478332364,22.79,Financials
J,24.396078608238426,22.37,Industrials
JBHT,0.3476192488467945,14.82,Industrials
JCI,12.527032557858893,14.43,Industrials
JKHY,-1.7433317534436252,18.66,Financials
JNJ,-6.919581156136484,23.98,Health Care
JNPR,19.520450436843245,14.82,Information Technology
JPM,66.37064178161953,29.26,Financials
K,20.45692328546886,28.37,Consumer Staples
KEY,-3.12323183047408,21.42,Financials
KEYS,-9.83971398384893,7.6,Information Technology
KHC,-13.119172717673495,33.7,Consumer Staples
KIM,9.510360073122232,10.9,Real Estate
KLAC,117.61519565532758,17.19,Information Technology
KMB,5.506529806832924,28.48,Consumer Staples
KMI,19.76679300777226,18.96,Energy
KMX,39.42942596102819,12.1,Consumer Discretionary
KO,15.12311412610559,21.63,Consumer Staples
KR,19.653693779753265,21.27,Consumer Staples
L,39.853221075281056,16.38,Financials
LDOS,51.37999798754771,17.65,Industrials
LEN,97.93432367261352,25.36,Consumer Discretionary
LH,12.537622540762793,19.74,Health Care
LKQ,-22.781285404229003,11.07,Consumer Discretionary
LLY,163.02639667317501,24.28,Health Care
LMT,18.966342855561614,30.18,Industrials
LNT,5.237496084199747,21.36,Utilities
LOW,24.849280738652983,11.78,Consumer Discretionary
LRCX,98.16800240310279,13.61,Information Technology
LULU,-19.76312780540321,16.94,Consumer Discretionary
LUV,-11.288339172004708,30.67,Industrials
LVS,-20.96087526613177,18.69,Consumer Discretionary
LYB,17.51398911609935,20.69,Materials
MA,39.37139946683994,17.07,Financials
MAA,4.47175204614748,13.09,Real Estate
MAR,58.84264124629864,21.43,Consumer Discretionary
MAS,67.77731048226077,22.19,Industrials
MCD,9.2044105193461,25.95,Consumer Discretionary
MCHP,18.900152643099453,31.82,Information Technology
MCK,49.88914519716828,15.23,Health Care
MCO,76.41696678874655,15.82,Financials
MDLZ,8.39244914504717,22.02,Consumer Staples
MDT,13.186812436907122,22.77,Health Care
MET,7.387389768998011,16.43,Financials
MGM,12.95072575535135,24.76,Consumer Discretionary
MHK,45.180608743717315,14.14,Consumer Discretionary
MKC,-4.121244029109974,26.07,Consumer Staples
MLM,57.94670726171988,30.12,Materials
MMC,37.07073163220233,21.07,Financials
MMM,31.53363475003856,37.35,Industrials
MNST,-6.968019719560263,29.23,Consumer Staples
MO,18.123901399462575,31.32,Consumer Staples
MOS,-32.981470844501295,33.52,Materials
MPC,59.682652399084176,30.49,Energy
MRK,6.5772877440510555,21.39,Health Care
MRO,11.739470750912163,37.72,Energy
MS,20.870274305744687,24.58,Financials
MSCI,25.897740967333633,16.27,Financials
MSFT,74.11303592133424,15.06,Information Technology
MSI,71.73271912457467,13.13,Information Technology
MTB,18.72111413473078,26.53,Financials
MTD,-1.5589648285156223,13.1,Health Care
MU,91.06611059077974,18.18,Information Technology
NCLH,50.84316954070288,25.94,Consumer Discretionary
NDAQ,16.709850696228596,13.09,Financials
NDSN,7.784732543933661,24.89,Industrials
NEE,-3.960395589057867,23.27,Utilities
NEM,7.684545013887713,20.52,Materials
NFLX,137.7860473162639,16.41,Communication Services
NI,20.48105222249555,26.02,Utilities
NKE,-29.835789730674346,19.61,Consumer Discretionary
NOC,-3.1684331011987554,27.53,Industrials
NOW,121.78988326848248,16.59,Information Technology
NRG,166.23865118614026,31.97,Utilities
NSC,3.4154246338706806,23.92,Industrials
NTAP,98.5852926510947,15.43,Information Technology
NTRS,1.5927827184438959,23.86,Financials
NUE,15.908749040067768,32.82,Materials
NVR,99.86534633155465,20.27,Consumer Discretionary
NWSA,54.808749206574184,11.47,Communication Services
NXPI,65.3402001327185,19.84,Information Technology
O,-2.648900700499205,15.47,Real Estate
OKE,44.44792398192357,25.15,Energy
OMC,21.68908492746667,16.28,Communication Services
ON,26.391822715707786,22.43,Information Technology
ORCL,68.76492024129736,13.89,Information Technology
ORLY,34.40503497949378,12.05,Consumer Discretionary
OXY,-6.666666250101303,41.66,Energy
PANW,161.98628329063922,13.92,Information Technology
PARA,-38.66432071347131,14.99,Communication Services
PAYX,13.289007610816927,16.73,Industrials
PCAR,46.5711616572365,27.64,Industrials
PCG,25.637757522470967,30.38,Utilities
PEG,30.136987901476914,27.23,Utilities
PEP,-3.639707176861277,22.06,Consumer Staples
PFE,-43.40616235116931,24.59,Health Care
PFG,-2.8052985177188754,14.19,Financials
PG,13.175420595709861,28.57,Consumer Staples
PGR,93.79130023901216,20.02,Financials
PH,105.71702499228066,29.48,Industrials
PHM,184.95669203990767,21.42,Consumer Discretionary
PKG,62.358590771707426,18.64,Materials
PLD,13.426210777912534,10.27,Real Estate
PM,21.707795855182816,28.45,Consumer Staples
PNC,16.029332610696304,26.07,Financials
PNR,96.2168162486521,22.06,Industrials
PNW,17.271874399081653,30.79,Utilities
PPG,2.2784606378809196,25.21,Materials
PPL,9.280818539950788,31.32,Utilities
PRU,21.793324862875288,19.91,Financials
PSA,25.362904078545647,13.05,Real Estate
PSX,38.87953999198321,35.43,Energy
PTC,49.678223195973416,18.9,Information Technology
PWR,95.66887396952171,36.91,Industrials
PYPL,-2.882812380119382,17.77,Financials
QCOM,63.526126905017854,15.39,Information Technology
QRVO,30.008974852098103,28.52,Information Technology
RCL,237.9593475904285,20.71,Consumer Discretionary
REG,15.69314073372843,11.71,Real Estate
REGN,64.43293816258308,18.04,Health Care
RF,9.082444458796711,16.85,Financials
RJF,12.684948644849566,27.02,Financials
RL,56.96085926938217,14.62,Consumer Discretionary
RMD,17.172781577779624,26.39,Health Care
ROK,4.0585972024270704,17.67,Industrials
ROL,37.29138536970157,19.31,Industrials
ROP,27.608982195971798,20.44,Information Technology
ROST,30.026761831555266,18.23,Consumer Discretionary
RSG,61.80449064717285,20.91,Industrials
RVTY,-13.178403397021174,16.7,Health Care
SBAC,-19.549935572314563,11.58,Real Estate
SBUX,-6.2084717073787,24.67,Consumer Discretionary
SCHW,-20.551627368240712,23.28,Financials
SHW,54.30922949902571,29.35,Materials
SJM,-27.869679638380436,30.45,Consumer Staples
SLB,-14.582521012685831,20.28,Energy
SNA,23.698659078560212,30.53,Industrials
SNPS,62.53129035097316,14.42,Information Technology
SO,20.16689804211065,32.98,Utilities
SPG,42.37706721117462,13.98,Real Estate
SPGI,53.1282542210579,13.04,Financials
SRE,6.928627565744273,23.59,Utilities
STLD,25.57529099042,32.98,Materials
STT,11.096934666985208,24.08,Financials
STX,91.8851214383261,10.66,Information Technology
STZ,5.760105561855294,24.66,Consumer Staples
SWK,34.34833617320237,25.31,Industrials
SWKS,21.093918605404006,27.95,Information Technology
SYF,55.171346923815825,17.28,Financials
SYK,46.494336144370735,28.26,Health Care
SYY,2.6056104916376355,15.95,Consumer Staples
T,6.189967244289347,23.91,Communication Services
TAP,9.162626860484789,21.37,Consumer Staples
TDG,119.44323282955295,38.72,Industrials
TEL,33.961277862992425,14.8,Information Technology
TER,59.11788111480254,17.03,Information Technology
TFX,-1.8731270043000543,29.63,Health Care
TGT,1.2456333242388682,14.35,Consumer Staples
TJX,48.42424183316356,14.38,Consumer Discretionary
TMO,11.18804285546734,12.81,Health Care
TMUS,42.922907664238586,24.63,Communication Services
TPR,5.511200846601432,14.84,Consumer Discretionary
TRGP,107.9263846054912,33.21,Energy
